SleepHours,StudyHours,ScreenTime,PhysicalActivity,SocialTime,StressScore,StressCategory,StressLabel
8.9,2.41,1.41,1.08,3.8,53.44999999999999,Low,0
8.68,3.81,1.66,1.07,2.11,66.18,Low,0
8.52,2.46,0.53,1.43,3.42,52.17,Low,0
8.1,4.99,0.71,1.11,2.07,71.72000000000001,Low,0
8.33,3.39,0.5,1.52,3.15,58.11,Low,0
8.6,3.8,0.9,1.92,2.14,60.959999999999994,Low,0
8.22,3.24,0.65,1.79,3.76,56.58999999999999,Low,0
8.01,4.19,1.58,1.43,2.37,70.18,Low,0
8.19,2.69,0.83,1.41,2.61,58.18,Low,0
8.69,3.62,1.7,1.18,3.33,62.56,Low,0
8.9,2.92,0.79,1.05,3.35,54.51,Low,0
8.55,3.47,1.35,1.45,3.22,60.66000000000001,Low,0
8.17,4.17,1.28,1.94,2.29,66.55000000000003,Low,0
8.69,4.7,0.62,1.41,2.86,63.89,Low,0
8.09,4.56,0.5,1.87,3.02,64.60999999999999,Low,0
9.0,4.1,0.95,1.78,3.88,57.199999999999996,Low,0
8.46,3.72,1.82,1.19,2.99,65.57000000000001,Low,0
8.95,4.24,0.82,1.57,3.27,59.53000000000001,Low,0
8.99,4.48,1.7,1.76,3.57,62.84,Low,0
8.83,2.04,1.11,1.67,3.39,49.87,Low,0
8.31,4.72,1.39,1.49,3.95,66.92999999999999,Low,0
8.63,4.6,1.34,1.88,2.62,65.7,Low,0
8.4,4.55,0.8,1.02,2.72,67.05,Low,0
8.26,3.51,0.7,1.85,2.67,59.89999999999999,Low,0
8.39,3.82,0.63,1.45,2.64,61.64999999999999,Low,0
8.12,3.28,1.36,1.69,2.96,62.13000000000001,Low,0
8.13,4.58,1.04,1.02,3.18,68.86,Low,0
8.25,2.41,0.63,1.25,3.65,54.019999999999996,Low,0
8.92,2.64,1.44,1.71,2.82,54.67000000000001,Low,0
8.07,4.1,0.93,1.16,2.89,66.53999999999999,Low,0
8.85,3.55,0.75,2.0,3.96,53.730000000000004,Low,0
8.31,4.93,1.84,1.85,2.88,70.83999999999999,Low,0
8.48,3.15,0.74,1.6,2.44,58.15,Low,0
7.39,5.36,2.95,1.23,1.31,87.95,Moderate,1
6.52,5.63,2.56,1.21,1.51,92.62,Moderate,1
7.17,5.24,2.21,1.26,1.35,85.54,Moderate,1
7.43,6.88,3.29,1.41,2.77,93.20999999999998,Moderate,1
7.48,5.43,2.0,1.42,2.52,80.96999999999998,Moderate,1
6.6,6.89,3.25,1.42,2.81,97.96999999999998,Moderate,1
6.87,5.14,3.31,0.54,2.2,91.69999999999999,Moderate,1
7.15,6.39,2.23,0.6,1.13,93.91,Moderate,1
6.63,6.7,3.45,1.16,1.7,100.0,Moderate,1
7.0,6.23,2.56,0.59,2.95,91.72,Moderate,1
7.37,5.56,3.07,1.19,1.89,88.51,Moderate,1
6.54,6.09,2.0,1.4,1.32,92.36999999999999,Moderate,1
6.81,5.48,2.3,1.11,2.25,87.91000000000001,Moderate,1
6.61,6.63,3.31,1.47,2.67,96.97999999999999,Moderate,1
6.74,5.69,3.55,0.59,2.56,95.32000000000001,Moderate,1
6.83,6.99,2.29,0.65,2.35,96.47999999999999,Moderate,1
6.52,6.07,2.61,1.46,1.49,94.31,Moderate,1
6.51,5.06,3.36,1.29,1.89,92.02999999999999,Moderate,1
7.17,6.48,2.39,1.4,2.56,89.62,Moderate,1
6.51,6.12,2.9,1.26,2.67,94.01999999999998,Moderate,1
7.37,5.12,3.55,0.81,2.64,87.86999999999999,Moderate,1
6.64,5.08,2.16,1.21,2.9,84.77000000000001,Moderate,1
6.72,5.06,3.41,1.07,2.51,90.39,Moderate,1
7.26,6.83,3.35,1.4,1.06,97.67,Moderate,1
6.51,5.58,2.91,0.98,2.5,92.54,Moderate,1
6.88,5.66,2.16,1.18,2.49,87.13999999999999,Moderate,1
7.27,6.83,2.7,1.03,2.57,93.1,Moderate,1
6.58,6.91,3.24,0.54,1.58,100.0,Moderate,1
7.2,5.02,2.94,0.93,2.78,85.30999999999999,Moderate,1
7.26,5.8,2.81,0.66,2.61,89.47999999999999,Moderate,1
7.02,6.83,2.42,1.3,2.51,92.79,Moderate,1
6.95,6.56,2.3,0.66,2.03,94.25999999999999,Moderate,1
7.22,6.79,2.47,1.37,2.11,92.17999999999999,Moderate,1
4.69,8.15,4.25,0.05,0.36,100.0,High,2
4.86,7.01,5.06,0.13,0.08,100.0,High,2
4.8,9.74,5.32,0.16,0.93,100.0,High,2
5.79,7.68,4.59,0.2,0.52,100.0,High,2
5.05,7.83,5.28,0.12,0.38,100.0,High,2
4.95,8.0,3.62,0.34,1.37,100.0,High,2
5.76,9.62,3.83,0.31,1.31,100.0,High,2
4.7,7.92,3.83,0.38,1.0,100.0,High,2
5.36,7.09,3.27,0.36,0.45,100.0,High,2
5.72,7.54,5.5,0.36,1.34,100.0,High,2
4.65,9.45,5.57,0.39,1.05,100.0,High,2
4.6,8.93,3.89,0.45,0.5,100.0,High,2
5.61,7.48,3.76,0.45,0.71,100.0,High,2
5.64,7.16,5.93,0.03,1.0,100.0,High,2
5.38,9.43,5.55,0.37,1.34,100.0,High,2
5.49,7.98,3.5,0.17,1.44,100.0,High,2
5.76,8.38,5.41,0.19,0.1,100.0,High,2
5.91,7.64,3.45,0.06,0.72,100.0,High,2
4.9,8.86,4.31,0.48,0.07,100.0,High,2
5.34,9.16,5.33,0.06,1.25,100.0,High,2
5.62,9.93,5.07,0.39,0.46,100.0,High,2
4.92,8.19,5.4,0.3,1.31,100.0,High,2
4.75,7.22,4.64,0.02,0.61,100.0,High,2
4.64,8.63,5.44,0.17,0.59,100.0,High,2
5.21,9.85,3.33,0.33,1.03,100.0,High,2
5.19,9.41,3.77,0.23,0.54,100.0,High,2
4.72,8.53,3.64,0.29,0.74,100.0,High,2
5.9,9.3,4.13,0.18,0.21,100.0,High,2
4.84,7.39,3.71,0.02,1.34,100.0,High,2
4.54,8.36,5.76,0.2,1.24,100.0,High,2
5.79,9.58,3.22,0.47,0.1,100.0,High,2
5.25,7.66,5.82,0.21,0.4,100.0,High,2
5.16,9.49,5.92,0.38,0.87,100.0,High,2
